Date,Open,High,Low,Close
22-Mar-17,9378.08,9378.08,9314.48,9327.48
23-Mar-17,9341.87,9401.64,9341.13,9388.14
24-Mar-17,9395.95,9440.15,9394.55,9408.74
27-Mar-17,9403.03,9409.65,9328.64,9355.2
28-Mar-17,9378.15,9417.41,9378.15,9406.78
29-Mar-17,9426.24,9447.01,9414.52,9440.35
30-Mar-17,9446.48,9490.84,9441.37,9482.16
31-Mar-17,9483.1,9497.1,9459.71,9480.75
03-Apr-17,9516.11,9553.24,9504.42,9548.57
05-Apr-17,9574.06,9586.99,9529.14,9578.57
06-Apr-17,9572.77,9582.33,9537.32,9575.4
07-Apr-17,9553.64,9569.76,9502.48,9514.36
10-Apr-17,9533.96,9554.01,9491.54,9496.96
11-Apr-17,9512.63,9561.45,9495.1,9554.9
12-Apr-17,9572.72,9572.96,9480.96,9521.69
13-Apr-17,9519.27,9525.43,9462.06,9468.2
17-Apr-17,9472.06,9482.76,9440.26,9454.9
18-Apr-17,9475.71,9537.14,9405.41,9417.3
19-Apr-17,9430.79,9434.79,9389.88,9418.25
20-Apr-17,9416.55,9459.34,9413.66,9453.09
21-Apr-17,9498.42,9502.36,9403.57,9432.84
24-Apr-17,9447.56,9535.83,9445.34,9527.42
25-Apr-17,9581.29,9631.7,9565.84,9627.76
26-Apr-17,9654.76,9683.1,9617.5,9669.4
27-Apr-17,9673.03,9688.21,9640.98,9658.05
28-Apr-17,9673.02,9673.48,9602.59,9614.93
02-May-17,9643.79,9670.82,9586.29,9631.16
03-May-17,9650.04,9660.53,9613.99,9627.44
04-May-17,9673.17,9689.7,9649.45,9682.06
05-May-17,9692.73,9700.96,9594.46,9606.07
08-May-17,9632.24,9663.04,9622.07,9635.65
09-May-17,9648.86,9664.25,9630.92,9642.33
10-May-17,9661.69,9748.54,9661.34,9741.68
11-May-17,9766.6,9784.38,9743.5,9754.64
12-May-17,9766.56,9770.43,9703.27,9726.46
15-May-17,9758.18,9776.64,9752.98,9768.73
16-May-17,9788.85,9842.62,9783.08,9839.05
17-May-17,9847.29,9860.52,9815.51,9849.5
18-May-17,9796.7,9815.25,9737.79,9751.28
19-May-17,9781.35,9832.62,9712.64,9748.64
22-May-17,9803.47,9822.25,9753.22,9764.18
23-May-17,9762.76,9776.13,9689.97,9705.22
24-May-17,9730.73,9758.1,9666.4,9686.29
25-May-17,9709.22,9844.89,9705.09,9832.17
26-May-17,9839.02,9936.08,9825.57,9925.81
29-May-17,9902.28,9965.59,9878.56,9931.58
30-May-17,9932.67,9962.47,9911.73,9949.86
31-May-17,9971.21,9982.83,9944.63,9958.14
01-Jun-17,9949.56,9975.95,9929.84,9953.22
02-Jun-17,9974.18,10010.45,9970.83,10001.5
05-Jun-17,10008.88,10042.34,9994.04,10030.7
06-Jun-17,10067.47,10070.42,9984.09,9990.69
07-Jun-17,10009.46,10034.18,9983.21,10014.05
08-Jun-17,10029.39,10041.7,9991.29,9996.75
09-Jun-17,9992.67,10019.74,9959.55,10011.06
12-Jun-17,10003.58,10003.74,9943.18,9958.31
13-Jun-17,9958.12,10001.28,9942.31,9954.33
14-Jun-17,9965.61,9975.86,9930.5,9963.66
15-Jun-17,9982.29,9983.95,9914.13,9932.52
16-Jun-17,9961.88,9969,9922.01,9936.29
19-Jun-17,9971.34,10022.07,9968.86,10004.03
20-Jun-17,10027.37,10030.73,9996.34,10007.39
21-Jun-17,10007.08,10007.08,9965.81,9988.9
22-Jun-17,10011.18,10059.32,9978.71,9989.79
23-Jun-17,10009.28,10012.63,9924.35,9933.69
27-Jun-17,9954.33,9980.19,9838.69,9873.17
28-Jun-17,9880.24,9885.92,9833.43,9848.15
29-Jun-17,9871.97,9933.82,9842.29,9859.83
30-Jun-17,9856.68,9895.7,9807.41,9882.2
